daymonth,weather,max_temp (Celsius),min_temp (Celsius),wind (km/h),rain (mm),humidity (percentage),cloud (percentage),pressure (millibar),year,avg_temp (Celsius)
9-Sep,Sunny,18,7,5,0,59,32,1019,2010,12.5
10-Sep,Moderate or heavy rain shower,11,9,7,13,91,84,1012,2011,10
11-Sep,Light rain shower,13,7,8,7.1,79,40,1016,2012,10
12-Sep,Light rain shower,13,7,8,7.1,79,40,1016,2012,10
13-Sep,Sunny,19,9,11,0,31,18,1018,2013,14
14-Sep,Sunny,18,8,7,2,77,27,1017,2009,13
15-Sep,Sunny,18,6,5,0.5,59,37,1016,2010,12
16-Sep,Moderate or heavy rain shower,16,8,8,13.7,83,42,1012,2011,12
17-Sep,Sunny,14,5,12,0,51,9,1020,2012,9.5
18-Sep,Sunny,14,5,12,0,51,9,1020,2012,9.5
19-Sep,partly cloudy,20,11,11,0.4,48,51,1017,2013,15.5
20-Sep,Sunny,19,7,10,0,56,2,1017,2009,13
21-Sep,Light rain shower,12,7,10,4.1,78,39,1015,2010,9.5
22-Sep,Sunny,19,7,10,0,56,2,1017,2009,13
23-Sep,Light rain shower,12,7,10,4.2,78,39,1015,2010,9.5
24-Sep,Sunny,18,5,7,0.3,64,2,1014,2011,11.5
25-Sep,Sunny,15,4,8,0,41,20,1018,2012,9.5
26-Sep,Sunny,15,4,8,0,41,20,1018,2012,9.5
27-Sep,partly cloud,16,10,12,1.9,63,66,1014,2013,13
28-Sep,Sunny,20,6,7,0,52,22,1017,2009,13
29-Sep,Sunny,17,5,9,0.1,66,12,1020,2010,11
30-Sep,Sunny,17,5,9,0.1,49,17,1015,2011,11
1-Oct,Sunny,16,5,9,0,34,25,1019,2012,10.5
2-Oct,Sunny,16,5,9,0,34,25,1019,2012,10.5
3-Oct,Sunny,13,8,8,0.8,68,45,1010,2013,10.5
4-Oct,Sunny,21,9,7,0,43,22,1017,2009,15
5-Oct,Sunny,19,5,9,0,57,4,1021,2010,12
6-Oct,Sunny,18,5,9,0.4,54,19,1018,2011,11.5
7-Oct,partly cloud,17,5,12,0,32,49,1021,2012,11
8-Oct,partly cloud,17,5,12,0,32,49,1021,2012,11
9-Oct,Sunny,18,6,6,0.1,67,11,1012,2013,12
10-Oct,Sunny,22,8,10,0,44,3,1017,2009,15
